City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Grindavik,IS,63.8424,-22.4338,49.95,81,90,28.95,light rain
314,Troitskoye,RU,52.9821,84.6757,47.77,71,30,5.19,scattered clouds
315,Roald,NO,62.5833,6.1333,73.17,51,0,2.3,clear sky
316,Maniitsoq,GL,65.4167,-52.9,45.82,57,91,12.01,overcast clouds
317,Nuuk,GL,64.1835,-51.7216,41.61,81,75,13.8,broken clouds
318,Diffa,NE,13.3154,12.6113,100.06,15,78,10.04,broken clouds
319,Fonte Boa,BR,-2.4959,-66.2662,89.83,53,23,3.78,few clouds
320,Colares,PT,38.7992,-9.4469,74.39,61,20,23.73,few clouds
321,Sola,VU,-13.8833,167.55,78.21,69,96,14.67,overcast clouds
322,San Jose,US,37.3394,-121.895,67.1,69,90,1.01,overcast clouds
323,Prieska,ZA,-29.6641,22.7474,56.01,39,38,8.97,scattered clouds
324,Chumikan,RU,54.7183,135.315,35.08,93,95,4.88,overcast clouds
325,Esik,KZ,43.3552,77.4525,63.82,59,13,8.55,few clouds
326,Lock Haven,US,41.137,-77.4469,51.69,81,100,6.73,overcast clouds
327,Grootfontein,NA,-19.5667,18.1167,71.17,28,0,2.3,clear sky
328,Hamilton,US,39.1834,-84.5333,52.88,82,100,4.0,overcast clouds
329,Doha,QA,25.2867,51.5333,104.31,40,0,5.75,clear sky
330,Machalpur,IN,24.1333,76.3,93.43,32,100,7.61,overcast clouds
331,Havelock,US,34.8791,-76.9013,89.56,77,40,13.0,scattered clouds
332,Pitimbu,BR,-7.4706,-34.8086,84.79,64,2,15.99,clear sky
333,Wilson,US,36.1501,-86.2833,60.03,90,90,10.36,light rain
334,Kulachi,PK,31.9286,70.4592,103.51,11,43,3.74,scattered clouds
335,Fairview,US,40.8126,-73.999,50.27,88,90,13.8,overcast clouds
336,Arman,RU,59.7,150.1667,36.23,99,100,3.96,overcast clouds
337,Nizhnyaya Poyma,RU,56.1622,97.1933,32.27,76,38,4.29,scattered clouds
338,Vao,NC,-22.6667,167.4833,68.88,64,98,22.79,overcast clouds
